id,group,gender,age,score,spendcat,timecat,popcat
1,Mobile Core,Male,13-17,20049246.81,Low,Medium,Low
2,Mobile Core,Male,18-24,249400992.8,High,Medium,Low
3,Mobile Core,Male,25-34,494453624.9,Medium,Medium,Low
4,Mobile Core,Male,35-44,80674971.03,Medium,Medium,Low
5,Mobile Core,Male,45-54,32276940.9,Medium,Medium,Low
7,Mobile Core,Female,13-17,8030127.462,Low,Low,Low
8,Mobile Core,Female,18-24,73051998.84,Medium,Medium,Low
9,Mobile Core,Female,25-34,70028968.71,Medium,Low,Low
10,Mobile Core,Female,35-44,150669177.3,High,Low,Low
11,Mobile Core,Female,45-54,990730.0116,Low,Low,Low
12,Mobile Core,Female,55+,3389339.513,Low,High,Low
13,Browser Casuals,Male,13-17,12488412.51,Low,High,Low
14,Browser Casuals,Male,18-24,90000000,Low,Medium,Low
15,Browser Casuals,Male,25-34,35848783.31,Low,Medium,Low
16,Browser Casuals,Male,35-44,28626882.97,Low,Medium,Low
17,Browser Casuals,Male,45-54,5031865.585,Low,Medium,Low
18,Browser Casuals,Male,55+,29148319.81,Low,Medium,Low
19,Browser Casuals,Female,13-17,22224942.06,Low,Medium,Low
20,Browser Casuals,Female,18-24,13974507.53,Low,Medium,Low
21,Browser Casuals,Female,25-34,8968713.789,Low,High,Low
22,Browser Casuals,Female,35-44,24829084.59,Low,Medium,Low
23,Browser Casuals,Female,45-54,11263035.92,Low,Low,Low
24,Browser Casuals,Female,55+,37755069.52,Low,Medium,Low
25,Digital Natives,Male,13-17,190556489,Medium,Medium,Low
26,Digital Natives,Male,18-24,599746273.6,Medium,Medium,Low
27,Digital Natives,Male,25-34,599475716.2,Medium,Medium,Low
28,Digital Natives,Male,35-44,74969582.85,Medium,Medium,Low
29,Digital Natives,Male,45-54,36057358.05,Medium,Low,Low
30,Digital Natives,Male,55+,521436.8482,Low,Low,Low
31,Digital Natives,Female,13-17,21144264.19,High,Medium,Low
32,Digital Natives,Female,18-24,117607473.9,Medium,Medium,Low
33,Digital Natives,Female,25-34,77120509.85,Medium,Low,Low
34,Digital Natives,Female,35-44,19840672.07,High,Low,Low
35,Digital Natives,Female,45-54,26123986.1,Medium,Low,Low
36,Frugal Gamers,Male,13-17,124098866.1,Low,High,Low
37,Frugal Gamers,Male,18-24,136666592.4,Low,High,Low
38,Frugal Gamers,Male,25-34,267405049.5,Low,High,Low
39,Frugal Gamers,Male,35-44,93962920.05,Low,High,Low
40,Frugal Gamers,Male,45-54,12618771.73,Low,High,Low
41,Frugal Gamers,Male,55+,1825028.969,Low,Medium,Low
42,Frugal Gamers,Female,13-17,60387601.39,Low,High,Low
43,Frugal Gamers,Female,18-24,104923121.5,Low,High,Low
44,Frugal Gamers,Female,25-34,89067931.63,Low,High,Low
45,Frugal Gamers,Female,35-44,29026651.22,Low,High,Low
46,Frugal Gamers,Female,45-54,20648899.19,Low,High,Low
47,Frugal Gamers,Female,55+,15225955.97,Low,Medium,Low
48,Core Console Gamer,Male,13-17,427984688,Low,Low,Medium
49,Core Console Gamer,Male,18-24,817576630.8,Low,Low,High
50,Core Console Gamer,Male,25-34,791619726.1,Low,Low,High
51,Core Console Gamer,Male,35-44,309780417.1,Low,Low,Low
52,Core Console Gamer,Male,45-54,70785052.14,Low,Low,Low
53,Core Console Gamer,Male,55+,31025492.47,Low,Low,Low
54,Core Console Gamer,Female,13-17,156316031.6,Low,Low,Low
55,Core Console Gamer,Female,18-24,278530205.5,Low,Low,Low
56,Core Console Gamer,Female,25-34,513519636.6,Low,Low,Medium
57,Core Console Gamer,Female,35-44,88539976.83,Low,Low,Low
58,Core Console Gamer,Female,45-54,33317207.42,Low,Low,Low
59,Core Console Gamer,Female,55+,18667439.17,Low,Low,Low
60,Mobile Casuals,Male,13-17,47458421.38,Low,Low,Low
61,Mobile Casuals,Male,18-24,63095985.55,Low,Low,Low
62,Mobile Casuals,Male,25-34,132703410.8,Low,Medium,Low
63,Mobile Casuals,Male,35-44,32733198.15,Low,Low,Low
64,Mobile Casuals,Male,45-54,4119351.101,Low,Low,Low
65,Mobile Casuals,Male,55+,9724797.219,Low,Low,Low
66,Mobile Casuals,Female,13-17,51588354.58,Low,Low,Low
67,Mobile Casuals,Female,18-24,90532545.72,Low,Low,Low
68,Mobile Casuals,Female,25-34,136279653.4,Low,Low,Medium
69,Mobile Casuals,Female,35-44,85156499.93,Low,Low,Low
70,Mobile Casuals,Female,45-54,34560834.3,Low,Low,Low
71,Mobile Casuals,Female,55+,18023464.66,Low,Low,Low
72,Casuals,Male,13-17,169352524.7,Low,Low,High
73,Casuals,Male,18-24,218196877.4,Low,Low,High
74,Casuals,Male,25-34,252572519.9,Low,Low,High
75,Casuals,Male,35-44,132494914.2,Low,Low,Medium
76,Casuals,Male,45-54,56648209.05,Low,Low,Low
77,Casuals,Male,55+,43634823.03,Low,Low,Low
78,Casuals,Female,13-17,130859129.3,Low,Low,High
79,Casuals,Female,18-24,211676091.8,Low,Low,High
80,Casuals,Female,25-34,193583617,Low,Low,High
81,Casuals,Female,35-44,74366326.07,Low,Low,Medium
82,Casuals,Female,45-54,60260204.89,Low,Low,Medium
83,Casuals,Female,55+,38987632.59,Low,Low,Medium
